10:17:05.152107 IP 112.26.0.8.36004 > 112.26.0.1.43445: Flags [S], seq 604036043, win 65535, options [mss 1460,sackOK,TS val 4294851649 ecr 0,nop,wscale 6,mptcp capable csum {0x5fe731cb2a0ffaa8}], length 0
10:17:05.176521 IP 112.26.0.1.43445 > 112.26.0.8.36004: Flags [S.], seq 3411350881, ack 604036044, win 65535, options [mss 1460,sackOK,TS val 99544 ecr 4294851649,nop,wscale 6,mptcp capable csum {0x95b44a60aabf03a2}], length 0
10:17:05.353998 IP 112.26.0.1.43445 > 112.26.0.8.36004: Flags [S.], seq 3411350881, ack 604036044, win 65535, options [mss 1460,sackOK,TS val 99544 ecr 4294851649,nop,wscale 6,mptcp capable csum {0x95b44a60aabf03a2}], length 0
10:17:05.472541 IP 112.26.0.8.36004 > 112.26.0.1.43445: Flags [.], ack 1, win 1369, options [nop,nop,TS val 4294854113 ecr 99544,mptcp capable csum {0x5fe731cb2a0ffaa8,0x95b44a60aabf03a2},mptcp dss ack 3866414399], length 0
10:17:05.475920 IP 112.26.0.1.43445 > 112.26.0.8.36004: Flags [.], ack 1, win 1339, options [nop,nop,TS val 99849 ecr 4294854113,mptcp add-addr id 3 112.26.1.1,mptcp dss ack 1720219151], length 0
10:18:37.111075 IP 112.26.0.1.43445 > 112.26.0.8.36004: Flags [.], seq 796637:798065, ack 1, win 4017, options [nop,nop,TS val 191471 ecr 4294945029,mptcp dss ack 1720219151 seq 3869221659 subseq 796637 len 1428 csum 0xa45b], length 1428
10:18:37.307567 IP 112.26.0.1.43445 > 112.26.0.8.36004: Flags [.], seq 798065:799493, ack 1, win 4017, options [nop,nop,TS val 191682 ecr 4294945246,mptcp dss ack 1720219151 seq 3869227371 subseq 798065 len 1428 csum 0x20d5], length 1428
10:18:37.330327 IP 112.26.0.1.43445 > 112.26.0.8.36004: Flags [.], seq 798065:799493, ack 1, win 4017, options [nop,nop,TS val 191682 ecr 4294945246,mptcp dss ack 1720219151 seq 3869227371 subseq 798065 len 1428 csum 0x20d5], length 1428
10:18:37.568119 IP 112.26.0.1.43445 > 112.26.0.8.36004: Flags [.], seq 799493:800921, ack 1, win 4017, options [nop,nop,TS val 191942 ecr 4294945525,mptcp dss ack 1720219151 seq 3869237367 subseq 799493 len 1428 csum 0xcb5a], length 1428
10:18:37.580693 IP 112.26.0.1.43445 > 112.26.0.8.36004: Flags [.], seq 799493:800921, ack 1, win 4017, options [nop,nop,TS val 191942 ecr 4294945525,mptcp dss ack 1720219151 seq 3869237367 subseq 799493 len 1428 csum 0xcb5a], length 1428
10:18:37.700063 IP 112.26.0.1.43445 > 112.26.0.8.36004: Flags [.], seq 800921:802349, ack 1, win 4017, options [nop,nop,TS val 192073 ecr 4294945709,mptcp dss ack 1720219151 seq 3869240223 subseq 800921 len 1428 csum 0xfc42], length 1428
10:18:37.714264 IP 112.26.0.1.43445 > 112.26.0.8.36004: Flags [.], seq 800921:802349, ack 1, win 4017, options [nop,nop,TS val 192073 ecr 4294945709,mptcp dss ack 1720219151 seq 3869240223 subseq 800921 len 1428 csum 0xfc42], length 1428
10:18:37.809663 IP 112.26.0.1.43445 > 112.26.0.8.36004: Flags [.], seq 802349:803777, ack 1, win 4017, options [nop,nop,TS val 192182 ecr 4294945823,mptcp dss ack 1720219151 seq 3869243079 subseq 802349 len 1428 csum 0x4134], length 1428
10:18:37.832523 IP 112.26.0.1.43445 > 112.26.0.8.36004: Flags [.], seq 802349:803777, ack 1, win 4017, options [nop,nop,TS val 192182 ecr 4294945823,mptcp dss ack 1720219151 seq 3869243079 subseq 802349 len 1428 csum 0x4134], length 1428
10:18:37.917264 IP 112.26.0.1.43445 > 112.26.0.8.36004: Flags [.], seq 803777:805205, ack 1, win 4017, options [nop,nop,TS val 192290 ecr 4294945927,mptcp dss ack 1720219151 seq 3869245935 subseq 803777 len 1428 csum 0xebad], length 1428
10:18:37.948017 IP 112.26.0.1.43445 > 112.26.0.8.36004: Flags [.], seq 803777:805205, ack 1, win 4017, options [nop,nop,TS val 192290 ecr 4294945927,mptcp dss ack 1720219151 seq 3869245935 subseq 803777 len 1428 csum 0xebad], length 1428
10:18:38.035164 IP 112.26.0.1.43445 > 112.26.0.8.36004: Flags [.], seq 805205:806633, ack 1, win 4017, options [nop,nop,TS val 192290 ecr 4294945927,mptcp dss ack 1720219151 seq 3869247363 subseq 805205 len 1428 csum 0xa433], length 1428
10:18:38.040135 IP 112.26.0.1.43445 > 112.26.0.8.36004: Flags [.], seq 805205:806633, ack 1, win 4017, options [nop,nop,TS val 192290 ecr 4294945927,mptcp dss ack 1720219151 seq 3869247363 subseq 805205 len 1428 csum 0xa433], length 1428
10:18:38.114058 IP 112.26.0.1.43445 > 112.26.0.8.36004: Flags [.], seq 806633:808061, ack 1, win 4017, options [nop,nop,TS val 192422 ecr 4294946124,mptcp dss ack 1720219151 seq 3869257359 subseq 806633 len 1428 csum 0x291], length 1428
10:18:38.150828 IP 112.26.0.1.43445 > 112.26.0.8.36004: Flags [.], seq 806633:808061, ack 1, win 4017, options [nop,nop,TS val 192422 ecr 4294946124,mptcp dss ack 1720219151 seq 3869257359 subseq 806633 len 1428 csum 0x291], length 1428
10:18:38.217578 IP 112.26.0.1.43445 > 112.26.0.8.36004: Flags [.], seq 808061:809489, ack 1, win 4017, options [nop,nop,TS val 192422 ecr 4294946124,mptcp dss ack 1720219151 seq 3869258787 subseq 808061 len 1428 csum 0xb92f], length 1428
10:18:38.259277 IP 112.26.0.1.43445 > 112.26.0.8.36004: Flags [.], seq 809489:810917, ack 1, win 4017, options [nop,nop,TS val 192573 ecr 4294946320,mptcp dss ack 1720219151 seq 3869261643 subseq 809489 len 1428 csum 0xba24], length 1428
10:18:38.263704 IP 112.26.0.1.43445 > 112.26.0.8.36004: Flags [.], seq 808061:809489, ack 1, win 4017, options [nop,nop,TS val 192422 ecr 4294946124,mptcp dss ack 1720219151 seq 3869258787 subseq 808061 len 1428 csum 0xb92f], length 1428
10:18:38.332629 IP 112.26.0.1.43445 > 112.26.0.8.36004: Flags [.], seq 810917:812345, ack 1, win 4017, options [nop,nop,TS val 192573 ecr 4294946320,mptcp dss ack 1720219151 seq 3869263071 subseq 810917 len 1428 csum 0xd6bc], length 1428
10:18:38.371242 IP 112.26.0.1.43445 > 112.26.0.8.36004: Flags [.], seq 809489:810917, ack 1, win 4017, options [nop,nop,TS val 192573 ecr 4294946320,mptcp dss ack 1720219151 seq 3869261643 subseq 809489 len 1428 csum 0xba24], length 1428
10:18:38.457257 IP 112.26.0.1.43445 > 112.26.0.8.36004: Flags [.], seq 810917:812345, ack 1, win 4017, options [nop,nop,TS val 192573 ecr 4294946320,mptcp dss ack 1720219151 seq 3869263071 subseq 810917 len 1428 csum 0xd6bc], length 1428
10:18:38.491735 IP 112.26.0.1.43445 > 112.26.0.8.36004: Flags [.], seq 812345:813773, ack 1, win 4017, options [nop,nop,TS val 192863 ecr 4294946752,mptcp dss ack 1720219151 seq 3869280207 subseq 812345 len 1428 csum 0xc2db], length 1428
10:18:38.565738 IP 112.26.0.1.43445 > 112.26.0.8.36004: Flags [.], seq 813773:815201, ack 1, win 4017, options [nop,nop,TS val 192863 ecr 4294946752,mptcp dss ack 1720219151 seq 3869281635 subseq 813773 len 1428 csum 0x7ba3], length 1428
10:18:38.568462 IP 112.26.0.1.43445 > 112.26.0.8.36004: Flags [.], seq 812345:813773, ack 1, win 4017, options [nop,nop,TS val 192863 ecr 4294946752,mptcp dss ack 1720219151 seq 3869280207 subseq 812345 len 1428 csum 0xc2db], length 1428
10:18:38.705265 IP 112.26.0.1.43445 > 112.26.0.8.36004: Flags [.], seq 813773:815201, ack 1, win 4017, options [nop,nop,TS val 192863 ecr 4294946752,mptcp dss ack 1720219151 seq 3869281635 subseq 813773 len 1428 csum 0x7ba3], length 1428
10:18:38.835785 IP 112.26.0.1.43445 > 112.26.0.8.36004: Flags [.], seq 815201:816629, ack 1, win 4017, options [nop,nop,TS val 193208 ecr 4294947192,mptcp dss ack 1720219151 seq 3869300199 subseq 815201 len 1428 csum 0xf201], length 1428
10:18:38.848062 IP 112.26.0.1.43445 > 112.26.0.8.36004: Flags [.], seq 815201:816629, ack 1, win 4017, options [nop,nop,TS val 193208 ecr 4294947192,mptcp dss ack 1720219151 seq 3869300199 subseq 815201 len 1428 csum 0xf201], length 1428
10:18:38.924537 IP 112.26.0.1.43445 > 112.26.0.8.36004: Flags [.], seq 816629:818057, ack 1, win 4017, options [nop,nop,TS val 193208 ecr 4294947192,mptcp dss ack 1720219151 seq 3869301627 subseq 816629 len 1428 csum 0x9bde], length 1428
10:18:38.954874 IP 112.26.0.1.43445 > 112.26.0.8.36004: Flags [.], seq 816629:818057, ack 1, win 4017, options [nop,nop,TS val 193208 ecr 4294947192,mptcp dss ack 1720219151 seq 3869301627 subseq 816629 len 1428 csum 0x9bde], length 1428
10:18:38.999160 IP 112.26.0.1.43445 > 112.26.0.8.36004: Flags [.], seq 818057:819485, ack 1, win 4017, options [nop,nop,TS val 193208 ecr 4294947192,mptcp dss ack 1720219151 seq 3869303055 subseq 818057 len 1428 csum 0xea63], length 1428
10:18:39.062781 IP 112.26.0.1.43445 > 112.26.0.8.36004: Flags [.], seq 818057:819485, ack 1, win 4017, options [nop,nop,TS val 193208 ecr 4294947192,mptcp dss ack 1720219151 seq 3869303055 subseq 818057 len 1428 csum 0xea63], length 1428
10:18:39.066774 IP 112.26.0.1.43445 > 112.26.0.8.36004: Flags [.], seq 819485:820913, ack 1, win 4017, options [nop,nop,TS val 193208 ecr 4294947192,mptcp dss ack 1720219151 seq 3869304483 subseq 819485 len 1428 csum 0x5b66], length 1428
10:18:39.128975 IP 112.26.0.1.43445 > 112.26.0.8.36004: Flags [.], seq 820913:822341, ack 1, win 4017, options [nop,nop,TS val 193208 ecr 4294947192,mptcp dss ack 1720219151 seq 3869305911 subseq 820913 len 1428 csum 0xbecf], length 1428
10:18:39.194913 IP 112.26.0.1.43445 > 112.26.0.8.36004: Flags [.], seq 822341:823769, ack 1, win 4017, options [nop,nop,TS val 193208 ecr 4294947192,mptcp dss ack 1720219151 seq 3869307339 subseq 822341 len 1428 csum 0xb0e6], length 1428
10:18:39.229939 IP 112.26.0.1.43445 > 112.26.0.8.36004: Flags [.], seq 819485:820913, ack 1, win 4017, options [nop,nop,TS val 193208 ecr 4294947192,mptcp dss ack 1720219151 seq 3869304483 subseq 819485 len 1428 csum 0x5b66], length 1428
10:18:39.249514 IP 112.26.0.1.43445 > 112.26.0.8.36004: Flags [.], seq 823769:825197, ack 1, win 4017, options [nop,nop,TS val 193432 ecr 4294947336,mptcp dss ack 1720219151 seq 3869321619 subseq 823769 len 1428 csum 0xd50c], length 1428
10:18:39.308848 IP 112.26.0.1.43445 > 112.26.0.8.36004: Flags [.], seq 820913:822341, ack 1, win 4017, options [nop,nop,TS val 193208 ecr 4294947192,mptcp dss ack 1720219151 seq 3869305911 subseq 820913 len 1428 csum 0xbecf], length 1428
10:18:39.358062 IP 112.26.0.1.43445 > 112.26.0.8.36004: Flags [.], seq 825197:826625, ack 1, win 4017, options [nop,nop,TS val 193432 ecr 4294947336,mptcp dss ack 1720219151 seq 3869323047 subseq 825197 len 1428 csum 0x9a3], length 1428
10:18:39.416548 IP 112.26.0.1.43445 > 112.26.0.8.36004: Flags [.], seq 822341:823769, ack 1, win 4017, options [nop,nop,TS val 193208 ecr 4294947192,mptcp dss ack 1720219151 seq 3869307339 subseq 822341 len 1428 csum 0xb0e6], length 1428
10:18:39.426905 IP 112.26.0.1.43445 > 112.26.0.8.36004: Flags [.], seq 826625:828053, ack 1, win 4017, options [nop,nop,TS val 193663 ecr 4294947560,mptcp dss ack 1720219151 seq 3869340183 subseq 826625 len 1428 csum 0x1d1c], length 1428
10:18:39.464561 IP 112.26.0.1.43445 > 112.26.0.8.36004: Flags [P.], seq 828053:829481, ack 1, win 4017, options [nop,nop,TS val 193663 ecr 4294947560,mptcp dss ack 1720219151 seq 3869341611 subseq 828053 len 1428 csum 0xc76f], length 1428
10:18:39.516517 IP 112.26.0.1.43445 > 112.26.0.8.36004: Flags [.], seq 823769:825197, ack 1, win 4017, options [nop,nop,TS val 193432 ecr 4294947336,mptcp dss ack 1720219151 seq 3869321619 subseq 823769 len 1428 csum 0xd50c], length 1428
10:18:39.536337 IP 112.26.0.1.43445 > 112.26.0.8.36004: Flags [.], seq 829481:830909, ack 1, win 4017, options [nop,nop,TS val 193879 ecr 4294947841,mptcp dss ack 1720219151 seq 3869347323 subseq 829481 len 1428 csum 0x7d1d], length 1428
10:18:39.586712 IP 112.26.0.1.43445 > 112.26.0.8.36004: Flags [.], seq 825197:826625, ack 1, win 4017, options [nop,nop,TS val 193432 ecr 4294947336,mptcp dss ack 1720219151 seq 3869323047 subseq 825197 len 1428 csum 0x9a3], length 1428
10:18:39.589026 IP 112.26.0.1.43445 > 112.26.0.8.36004: Flags [.], seq 830909:832337, ack 1, win 4017, options [nop,nop,TS val 193879 ecr 4294947841,mptcp dss ack 1720219151 seq 3869348751 subseq 830909 len 1428 csum 0x274e], length 1428
10:18:39.678689 IP 112.26.0.1.43445 > 112.26.0.8.36004: Flags [.], seq 832337:833765, ack 1, win 4017, options [nop,nop,TS val 193879 ecr 4294947841,mptcp dss ack 1720219151 seq 3869350179 subseq 832337 len 1428 csum 0xd57b], length 1428
10:18:39.722970 IP 112.26.0.1.43445 > 112.26.0.8.36004: Flags [.], seq 826625:828053, ack 1, win 4017, options [nop,nop,TS val 193663 ecr 4294947560,mptcp dss ack 1720219151 seq 3869340183 subseq 826625 len 1428 csum 0x1d1c], length 1428
10:18:39.761550 IP 112.26.0.1.43445 > 112.26.0.8.36004: Flags [.], seq 833765:835193, ack 1, win 4017, options [nop,nop,TS val 194064 ecr 4294948038,mptcp dss ack 1720219151 seq 3869365887 subseq 833765 len 1428 csum 0x15d9], length 1428
10:18:39.789242 IP 112.26.0.1.43445 > 112.26.0.8.36004: Flags [P.], seq 828053:829481, ack 1, win 4017, options [nop,nop,TS val 193663 ecr 4294947560,mptcp dss ack 1720219151 seq 3869341611 subseq 828053 len 1428 csum 0xc76f], length 1428
10:18:39.808627 IP 112.26.0.1.43445 > 112.26.0.8.36004: Flags [.], seq 835193:836621, ack 1, win 4017, options [nop,nop,TS val 194064 ecr 4294948038,mptcp dss ack 1720219151 seq 3869367315 subseq 835193 len 1428 csum 0xd1b2], length 1428
10:18:39.877566 IP 112.26.0.1.43445 > 112.26.0.8.36004: Flags [.], seq 829481:830909, ack 1, win 4017, options [nop,nop,TS val 193879 ecr 4294947841,mptcp dss ack 1720219151 seq 3869347323 subseq 829481 len 1428 csum 0x7d1d], length 1428
10:18:39.956981 IP 112.26.0.1.43445 > 112.26.0.8.36004: Flags [.], seq 830909:832337, ack 1, win 4017, options [nop,nop,TS val 193879 ecr 4294947841,mptcp dss ack 1720219151 seq 3869348751 subseq 830909 len 1428 csum 0x274e], length 1428
10:18:39.985078 IP 112.26.0.1.43445 > 112.26.0.8.36004: Flags [.], seq 836621:838049, ack 1, win 4017, options [nop,nop,TS val 194358 ecr 4294948360,mptcp dss ack 1720219151 seq 3869377311 subseq 836621 len 1428 csum 0x8cf2], length 1428
10:18:40.065694 IP 112.26.0.1.43445 > 112.26.0.8.36004: Flags [.], seq 838049:839477, ack 1, win 4017, options [nop,nop,TS val 194358 ecr 4294948360,mptcp dss ack 1720219151 seq 3869378739 subseq 838049 len 1428 csum 0xe166], length 1428
10:18:40.092985 IP 112.26.0.1.43445 > 112.26.0.8.36004: Flags [.], seq 832337:833765, ack 1, win 4017, options [nop,nop,TS val 193879 ecr 4294947841,mptcp dss ack 1720219151 seq 3869350179 subseq 832337 len 1428 csum 0xd57b], length 1428
10:18:40.145821 IP 112.26.0.1.43445 > 112.26.0.8.36004: Flags [.], seq 839477:840905, ack 1, win 4017, options [nop,nop,TS val 194358 ecr 4294948360,mptcp dss ack 1720219151 seq 3869380167 subseq 839477 len 1428 csum 0xe151], length 1428
10:18:40.209707 IP 112.26.0.1.43445 > 112.26.0.8.36004: Flags [.], seq 833765:835193, ack 1, win 4017, options [nop,nop,TS val 194064 ecr 4294948038,mptcp dss ack 1720219151 seq 3869365887 subseq 833765 len 1428 csum 0x15d9], length 1428
10:18:40.239207 IP 112.26.0.1.43445 > 112.26.0.8.36004: Flags [.], seq 840905:842333, ack 1, win 4017, options [nop,nop,TS val 194358 ecr 4294948360,mptcp dss ack 1720219151 seq 3869381595 subseq 840905 len 1428 csum 0x2457], length 1428
10:18:40.316957 IP 112.26.0.1.43445 > 112.26.0.8.36004: Flags [.], seq 835193:836621, ack 1, win 4017, options [nop,nop,TS val 194064 ecr 4294948038,mptcp dss ack 1720219151 seq 3869367315 subseq 835193 len 1428 csum 0xd1b2], length 1428
10:18:40.357948 IP 112.26.0.1.43445 > 112.26.0.8.36004: Flags [.], seq 842333:843761, ack 1, win 4017, options [nop,nop,TS val 194731 ecr 4294948695,mptcp dss ack 1720219151 seq 3869400159 subseq 842333 len 1428 csum 0x3a39], length 1428
10:18:40.410519 IP 112.26.0.1.43445 > 112.26.0.8.36004: Flags [.], seq 836621:838049, ack 1, win 4017, options [nop,nop,TS val 194358 ecr 4294948360,mptcp dss ack 1720219151 seq 3869377311 subseq 836621 len 1428 csum 0x8cf2], length 1428
10:18:40.430400 IP 112.26.0.1.43445 > 112.26.0.8.36004: Flags [.], seq 843761:845189, ack 1, win 4017, options [nop,nop,TS val 194731 ecr 4294948695,mptcp dss ack 1720219151 seq 3869401587 subseq 843761 len 1428 csum 0x4a52], length 1428
10:18:40.508511 IP 112.26.0.1.43445 > 112.26.0.8.36004: Flags [.], seq 845189:846617, ack 1, win 4017, options [nop,nop,TS val 194731 ecr 4294948695,mptcp dss ack 1720219151 seq 3869403015 subseq 845189 len 1428 csum 0xc7], length 1428
10:18:40.536005 IP 112.26.0.1.43445 > 112.26.0.8.36004: Flags [.], seq 838049:839477, ack 1, win 4017, options [nop,nop,TS val 194358 ecr 4294948360,mptcp dss ack 1720219151 seq 3869378739 subseq 838049 len 1428 csum 0xe166], length 1428
10:18:40.582242 IP 112.26.0.1.43445 > 112.26.0.8.36004: Flags [.], seq 846617:848045, ack 1, win 4017, options [nop,nop,TS val 194731 ecr 4294948695,mptcp dss ack 1720219151 seq 3869404443 subseq 846617 len 1428 csum 0x7a89], length 1428
10:18:40.644390 IP 112.26.0.1.43445 > 112.26.0.8.36004: Flags [.], seq 848045:849473, ack 1, win 4017, options [nop,nop,TS val 194731 ecr 4294948695,mptcp dss ack 1720219151 seq 3869405871 subseq 848045 len 1428 csum 0xef06], length 1428
10:18:40.664741 IP 112.26.0.1.43445 > 112.26.0.8.36004: Flags [.], seq 839477:840905, ack 1, win 4017, options [nop,nop,TS val 194358 ecr 4294948360,mptcp dss ack 1720219151 seq 3869380167 subseq 839477 len 1428 csum 0xe151], length 1428
10:18:40.732736 IP 112.26.0.1.43445 > 112.26.0.8.36004: Flags [.], seq 849473:850901, ack 1, win 4017, options [nop,nop,TS val 194731 ecr 4294948695,mptcp dss ack 1720219151 seq 3869407299 subseq 849473 len 1428 csum 0x2f88], length 1428
10:18:40.799919 IP 112.26.0.1.43445 > 112.26.0.8.36004: Flags [.], seq 850901:852329, ack 1, win 4017, options [nop,nop,TS val 194731 ecr 4294948695,mptcp dss ack 1720219151 seq 3869408727 subseq 850901 len 1428 csum 0x2bc7], length 1428
10:18:40.828771 IP 112.26.0.1.43445 > 112.26.0.8.36004: Flags [.], seq 840905:842333, ack 1, win 4017, options [nop,nop,TS val 194358 ecr 4294948360,mptcp dss ack 1720219151 seq 3869381595 subseq 840905 len 1428 csum 0x2457], length 1428
10:18:40.873544 IP 112.26.0.1.43445 > 112.26.0.8.36004: Flags [.], seq 852329:853757, ack 1, win 4017, options [nop,nop,TS val 194927 ecr 4294948968,mptcp dss ack 1720219151 seq 3869414439 subseq 852329 len 1428 csum 0xdf27], length 1428
10:18:40.921811 IP 112.26.0.1.43445 > 112.26.0.8.36004: Flags [.], seq 853757:855185, ack 1, win 4017, options [nop,nop,TS val 194927 ecr 4294948968,mptcp dss ack 1720219151 seq 3869415867 subseq 853757 len 1428 csum 0x9107], length 1428
10:18:40.951307 IP 112.26.0.1.43445 > 112.26.0.8.36004: Flags [.], seq 842333:843761, ack 1, win 4017, options [nop,nop,TS val 194731 ecr 4294948695,mptcp dss ack 1720219151 seq 3869400159 subseq 842333 len 1428 csum 0x3a39], length 1428
10:18:40.985428 IP 112.26.0.1.43445 > 112.26.0.8.36004: Flags [.], seq 855185:856613, ack 1, win 4017, options [nop,nop,TS val 194927 ecr 4294948968,mptcp dss ack 1720219151 seq 3869417295 subseq 855185 len 1428 csum 0xe9a1], length 1428
10:18:41.074377 IP 112.26.0.1.43445 > 112.26.0.8.36004: Flags [.], seq 843761:845189, ack 1, win 4017, options [nop,nop,TS val 194731 ecr 4294948695,mptcp dss ack 1720219151 seq 3869401587 subseq 843761 len 1428 csum 0x4a52], length 1428
10:18:41.101782 IP 112.26.0.1.43445 > 112.26.0.8.36004: Flags [.], seq 856613:858041, ack 1, win 4017, options [nop,nop,TS val 195128 ecr 4294949146,mptcp dss ack 1720219151 seq 3869421579 subseq 856613 len 1428 csum 0x6cdb], length 1428
10:18:41.173833 IP 112.26.0.1.43445 > 112.26.0.8.36004: Flags [.], seq 845189:846617, ack 1, win 4017, options [nop,nop,TS val 194731 ecr 4294948695,mptcp dss ack 1720219151 seq 3869403015 subseq 845189 len 1428 csum 0xc7], length 1428
10:18:41.210303 IP 112.26.0.1.43445 > 112.26.0.8.36004: Flags [.], seq 858041:859469, ack 1, win 4017, options [nop,nop,TS val 195128 ecr 4294949146,mptcp dss ack 1720219151 seq 3869423007 subseq 858041 len 1428 csum 0xbf1d], length 1428
10:18:41.270064 IP 112.26.0.1.43445 > 112.26.0.8.36004: Flags [.], seq 859469:860897, ack 1, win 4017, options [nop,nop,TS val 195351 ecr 4294949491,mptcp dss ack 1720219151 seq 3869441571 subseq 859469 len 1428 csum 0xa03b], length 1428
10:18:41.289001 IP 112.26.0.1.43445 > 112.26.0.8.36004: Flags [.], seq 846617:848045, ack 1, win 4017, options [nop,nop,TS val 194731 ecr 4294948695,mptcp dss ack 1720219151 seq 3869404443 subseq 846617 len 1428 csum 0x7a89], length 1428
10:18:41.357942 IP 112.26.0.1.43445 > 112.26.0.8.36004: Flags [.], seq 860897:862325, ack 1, win 4017, options [nop,nop,TS val 195351 ecr 4294949491,mptcp dss ack 1720219151 seq 3869442999 subseq 860897 len 1428 csum 0x7700], length 1428
10:18:41.393248 IP 112.26.0.1.43445 > 112.26.0.8.36004: Flags [.], seq 848045:849473, ack 1, win 4017, options [nop,nop,TS val 194731 ecr 4294948695,mptcp dss ack 1720219151 seq 3869405871 subseq 848045 len 1428 csum 0xef06], length 1428
10:18:41.437950 IP 112.26.0.1.43445 > 112.26.0.8.36004: Flags [.], seq 862325:863753, ack 1, win 4017, options [nop,nop,TS val 195351 ecr 4294949491,mptcp dss ack 1720219151 seq 3869444427 subseq 862325 len 1428 csum 0xba20], length 1428
10:18:41.460501 IP 112.26.0.1.43445 > 112.26.0.8.36004: Flags [.], seq 849473:850901, ack 1, win 4017, options [nop,nop,TS val 194731 ecr 4294948695,mptcp dss ack 1720219151 seq 3869407299 subseq 849473 len 1428 csum 0x2f88], length 1428
10:18:41.508887 IP 112.26.0.1.43445 > 112.26.0.8.36004: Flags [.], seq 863753:865181, ack 1, win 4017, options [nop,nop,TS val 195351 ecr 4294949491,mptcp dss ack 1720219151 seq 3869445855 subseq 863753 len 1428 csum 0x9712], length 1428
10:18:41.569232 IP 112.26.0.1.43445 > 112.26.0.8.36004: Flags [.], seq 865181:866609, ack 1, win 4017, options [nop,nop,TS val 195510 ecr 4294949706,mptcp dss ack 1720219151 seq 3869452995 subseq 865181 len 1428 csum 0x9d7b], length 1428
10:18:41.590754 IP 112.26.0.1.43445 > 112.26.0.8.36004: Flags [.], seq 852329:853757, ack 1, win 4017, options [nop,nop,TS val 194927 ecr 4294948968,mptcp dss ack 1720219151 seq 3869414439 subseq 852329 len 1428 csum 0xdf27], length 1428
10:18:41.652560 IP 112.26.0.1.43445 > 112.26.0.8.36004: Flags [.], seq 866609:868037, ack 1, win 4017, options [nop,nop,TS val 195510 ecr 4294949706,mptcp dss ack 1720219151 seq 3869454423 subseq 866609 len 1428 csum 0x12dc], length 1428
10:18:41.683262 IP 112.26.0.1.43445 > 112.26.0.8.36004: Flags [.], seq 853757:855185, ack 1, win 4017, options [nop,nop,TS val 194927 ecr 4294948968,mptcp dss ack 1720219151 seq 3869415867 subseq 853757 len 1428 csum 0x9107], length 1428
10:18:41.741814 IP 112.26.0.1.43445 > 112.26.0.8.36004: Flags [.], seq 868037:869465, ack 1, win 4017, options [nop,nop,TS val 195510 ecr 4294949706,mptcp dss ack 1720219151 seq 3869455851 subseq 868037 len 1428 csum 0x8cd2], length 1428
10:18:41.793349 IP 112.26.0.1.43445 > 112.26.0.8.36004: Flags [.], seq 869465:870893, ack 1, win 4017, options [nop,nop,TS val 195510 ecr 4294949706,mptcp dss ack 1720219151 seq 3869457279 subseq 869465 len 1428 csum 0x9b27], length 1428
10:18:41.817070 IP 112.26.0.1.43445 > 112.26.0.8.36004: Flags [.], seq 856613:858041, ack 1, win 4017, options [nop,nop,TS val 195128 ecr 4294949146,mptcp dss ack 1720219151 seq 3869421579 subseq 856613 len 1428 csum 0x6cdb], length 1428
10:18:41.899868 IP 112.26.0.1.43445 > 112.26.0.8.36004: Flags [.], seq 858041:859469, ack 1, win 4017, options [nop,nop,TS val 195128 ecr 4294949146,mptcp dss ack 1720219151 seq 3869423007 subseq 858041 len 1428 csum 0xbf1d], length 1428
10:18:41.919622 IP 112.26.0.1.43445 > 112.26.0.8.36004: Flags [.], seq 870893:872321, ack 1, win 4017, options [nop,nop,TS val 195510 ecr 4294949706,mptcp dss ack 1720219151 seq 3869458707 subseq 870893 len 1428 csum 0x650b], length 1428
10:18:42.018693 IP 112.26.0.1.43445 > 112.26.0.8.36004: Flags [.], seq 872321:873749, ack 1, win 4017, options [nop,nop,TS val 195858 ecr 4294949992,mptcp dss ack 1720219151 seq 3869467275 subseq 872321 len 1428 csum 0x276c], length 1428
10:18:42.079317 IP 112.26.0.1.43445 > 112.26.0.8.36004: Flags [.], seq 873749:875177, ack 1, win 4017, options [nop,nop,TS val 195858 ecr 4294949992,mptcp dss ack 1720219151 seq 3869468703 subseq 873749 len 1428 csum 0x2880], length 1428
10:18:42.116429 IP 112.26.0.1.43445 > 112.26.0.8.36004: Flags [.], seq 860897:862325, ack 1, win 4017, options [nop,nop,TS val 195351 ecr 4294949491,mptcp dss ack 1720219151 seq 3869442999 subseq 860897 len 1428 csum 0x7700], length 1428
10:18:42.198727 IP 112.26.0.1.43445 > 112.26.0.8.36004: Flags [.], seq 875177:876605, ack 1, win 4017, options [nop,nop,TS val 196149 ecr 4294950297,mptcp dss ack 1720219151 seq 3869475843 subseq 875177 len 1428 csum 0xe885], length 1428
10:18:42.247972 IP 112.26.0.1.43445 > 112.26.0.8.36004: Flags [.], seq 862325:863753, ack 1, win 4017, options [nop,nop,TS val 195351 ecr 4294949491,mptcp dss ack 1720219151 seq 3869444427 subseq 862325 len 1428 csum 0xba20], length 1428
10:18:42.269999 IP 112.26.0.1.43445 > 112.26.0.8.36004: Flags [.], seq 876605:878033, ack 1, win 4017, options [nop,nop,TS val 196149 ecr 4294950297,mptcp dss ack 1720219151 seq 3869477271 subseq 876605 len 1428 csum 0x8d18], length 1428
